;n_radicado;Latitud;Longitud
0;1;48.087.174;-756.906.010
1;2;533.223;-75.740.520
2;3;50.310.032;-7.539.947.410
3;4;50.310.032;-7.539.947.410
4;5;46.246.581;-7.577.210.770
5;6;50.601.287;-75.473.454.699.999.900
6;7;51.520.138;-750.363.120
7;8;5.242.598;-757.818.310
8;9;45.161.443;-7.569.347.840
9;10;45.136.961;-75.784.610.899.999.900
10;11;5.062.777.899.999.990;-7.550.855.930
11;12;50.575.001;-7.552.815.750
12;13;44.000.199;-75.733.310
13;14;50.310.032;-7.539.947.410
14;15;48.348.272;-7.569.338.640
15;16;47.843.872;-7.572.803.460
16;17;49.740.951;-7.567.899.050
17;18;48.582.778;-7.565.707.590
18;19;523.531;-75.769.380
19;20;4.527.635;-7.571.561.360
20;21;47.516.721;-7.589.938.840
21;22;4.908.928.299.999.990;-756.222.060
22;23;48.223.601;-7.575.555.640
23;24;48.318.256;-75.680.567.799.999.900
24;25;44.464.786;-75.789.532.999.999.900
25;26;48.116.865;-7.575.489.420
26;27;5.242.598;-757.818.310
27;28;49.818.124;-7.566.191.450
28;29;481.266;-75.698.680
29;30;45.289.959;-7.567.996.730
30;31;48.087.174;-756.906.010
31;32;5.065.938.699.999.990;-755.202.480
32;33;50.453.506;-7.550.170.760
33;34;5.341.119.099.999.990;-75.730.475.599.999.900
34;35;453.383;-7.567.202.910
35;36;4.570.868;-742.973.330
36;37;48.264.652;-757.347.540
37;38;4.514.783.899.999.990;-7.562.433.570
38;39;5.048.572.699.999.990;-7.547.979.050
39;40;4.543.926.799.999.990;-7.566.678.680
40;41;5.163.100.399.999.990;-7.566.315.850
41;42;51.116.566;-7.570.244.360
42;43;48.131.212;-7.579.726.230
43;44;4.487.457;-75.703.531.599.999.900
44;45;444.768;-758.180
45;46;48.139.911;-75.731.078.099.999.900
46;47;48.148;-75.702.670
47;48;453.439;-75.673.329.999.999.900
48;49;45.371.283;-7.566.968.770
49;50;44.849.304;-7.574.693.040
50;51;49.740.951;-7.567.899.050
51;52;4.994.736.899.999.990;-7.580.410.930
52;53;52.012.751;-7.586.682.080
53;54;48.175.392;-7.568.757.910
54;55;45.313.891;-7.570.026.440
55;56;5.047.648;-75.500.235.699.999.900
56;57;44.846.301;-75.676.543.299.999.900
57;58;50.621;-7.549.491.340
58;59;47.985.923;-7.574.494.320
59;60;48.052.173;-7.569.825.950
60;61;50.427.342;-7.533.378.370
61;62;48.207.281;-7.569.565.850
